actividad,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
Producto Interno Bruto,93.3,97.8,100.0,84.4,94.0,100.2,101.9,101.2,98.9,95.6
Agropecuaria y Pesca,94.0,98.7,100.0,101.6,109.3,112.1,114.1,115.5,118.7,122.5
Electricidad y Agua,87.3,91.1,100.0,93.0,101.6,108.4,111.6,117.1,115.8,118.1
Administración Pública,97.9,100.3,100.0,98.7,101.7,102.1,108.1,111.6,113.6,114.0
Alojamiento y Comidas,88.7,94.3,100.0,76.7,81.2,97.8,101.9,103.2,109.8,106.9
Comunales y Personales,96.2,103.7,100.0,89.0,98.9,96.4,104.2,103.5,107.5,106.0
Industria Manufacturera,91.6,96.0,100.0,80.7,95.3,102.7,104.8,103.9,105.3,97.2
Financieras e Inmobiliarias,91.0,97.6,100.0,95.6,93.6,103.0,101.8,106.5,100.5,96.2
Actividad Extractiva,101.2,106.7,100.0,78.5,102.6,109.6,106.3,95.1,85.4,93.8
Comercio,92.3,95.7,100.0,76.7,92.6,99.3,102.8,96.1,98.7,90.2
Transporte y Comunicaciones,94.3,97.5,100.0,75.1,88.0,94.6,95.5,97.6,95.8,86.7
Construcción,85.8,88.8,100.0,52.8,70.8,74.7,76.3,79.0,69.5,50.5
