actividad,2018,2019,2020,2021,2022,2023,2024,2025,2026
Producto Interno Bruto,4.8,2.3,-15.6,11.4,6.6,1.7,-0.7,-2.3,-3.3
Agropecuaria y Pesca,5.0,1.3,1.6,7.7,2.6,1.8,1.2,2.8,3.2
Electricidad y Agua,4.3,9.8,-7.0,9.2,6.7,2.9,5.0,-1.1,2.0
Administración Pública,2.4,-0.3,-1.3,3.0,0.5,5.9,3.2,1.8,0.3
Alojamiento y Comidas,6.3,6.0,-23.3,5.9,20.4,4.1,1.3,6.4,-2.6
Comunales y Personales,7.7,-3.5,-11.0,11.2,-2.5,8.1,-0.8,3.9,-1.4
Industria Manufacturera,4.8,4.2,-19.3,18.1,7.8,2.1,-0.9,1.4,-7.7
Financieras e Inmobiliarias,7.2,2.5,-4.4,-2.1,10.1,-1.2,4.6,-5.7,-4.3
Actividad Extractiva,5.4,-6.3,-21.5,30.8,6.8,-3.1,-10.5,-10.2,9.9
Comercio,3.6,4.5,-23.3,20.7,7.3,3.5,-6.5,2.7,-8.6
Transporte y Comunicaciones,3.4,2.6,-24.9,17.1,7.6,0.9,2.2,-1.8,-9.5
Construcción,3.5,12.6,-47.2,34.1,5.5,2.2,3.5,-12.1,-27.3
