"date","label","oro","divisas","deg","fmi","rib","rin"
"2025-12-05","2025-12-S1","3104,35","52,57","39,47","35,59","3231,98","3231,98"
"2025-12-12","2025-12-S2","3039,62","189,9","39,5","35,61","3304,64","3304,64"
"2025-12-19","2025-12-S3","3081,77","135,53","39,52","35,63","3292,44","3292,44"
"2025-12-24","2025-12-S4","3201,7","521,84","39,64","35,74","3798,92","3798,92"
"2025-12-29","2025-12-S5","3200,07","522,17","39,74","35,79","3797,78","3797,78"
"2026-01-09","2026-01-S1","3214,8","522,89","39,6","35,67","3812,96","3812,96"
"2026-01-16","2026-01-S2","3344,77","486,75","39,53","35,6","3906,66","3906,66"
"2026-01-22","2026-01-S3","3473,17","492,95","39,63","35,69","4041,45","4041,45"
"2026-01-26","2026-01-S4","3560,4","455,97","39,6","35,67","4091,63","4091,63"
"2026-02-06","2026-02-S1","3536,32","440,96","36,17","35,88","4049,32","4049,32"
"2026-02-13","2026-02-S2","3620,83","459,38","36,52","35,91","4152,65","4152,65"
"2026-02-20","2026-02-S3","3665,89","434,66","36,36","35,75","4172,66","4172,66"
"2026-02-23","2026-02-S4","3725,66","425,52","35,73","36,34","4223,25","4223,25"
"2026-03-06","2026-03-S1","3737,6","383,15","35,57","36,2","4192,52","4192,52"
"2026-03-13","2026-03-S2","3781,94","402,52","35,53","36,16","4256,14","4256,14"
"2026-03-20","2026-03-S3","3360,2","52,22","36,03","35,4","3483,85","3483,85"
"2026-03-27","2026-03-S4","3226,73","145,75","36,06","35,44","3443,98","3443,98"
"2026-03-30","2026-03-S5","3315,64","137,24","36,03","35,41","3524,32","3524,32"
"2026-04-02","2026-04-S1","3506,79","206,32","36,26","35,6","3784,97","3784,97"
"2026-04-10","2026-04-S2","3571,42","192,08","36,37","35,71","3835,57","3835,57"
"2026-04-17","2026-04-S3","3640,6","180,97","36,52","35,85","3893,94","3893,94"
"2026-04-24","2026-04-S4","3628,16","143,19","36,39","35,73","3843,46","3843,46"
"2026-04-27","2026-04-S5","3658,74","144,87","36,41","35,75","3875,77","3875,77"
"2026-05-08","2026-05-S1","3583,23","139,62","33,21","35,81","3791,87","3791,87"
"2026-05-15","2026-05-S2","3608,2","1016,99","33,13","35,71","4694,04","4694,04"
"2026-05-22","2026-05-S3","3551,4","962,6","32,99","35,57","4582,56","4582,56"
"2026-05-25","2026-05-S4","3534,96","965,5","32,99","35,56","4569","4569"
"2026-06-01","2026-06-S1","3677,88","849,69","33,12","35,68","4596,37","4596,37"
